enunciados;modelos;datos;incognitas;solución
Un ciclo de Otto, con una relación de compresión de 7.5, funciona a partir de condiciones de admisión de 97.91 kPa abs., 29.4 ºC. Calcule la presión y la temperatura al final de la compresión (a) si el aire frío (k = 1.4) es la sustancia de trabajo. Determine la eficiencia térmic;Otto;rk=7.5, P1= 97.91 kPa abs, T1=29.4 º;P2,T2,nt;v1=0.887 m3/kg, v2=0.1183 m3/kg, T2=676.132 K, P2=1640.777 kPa, nt=55.33%
Un ciclo Diesel de aire estándar funciona con una relación de compresión de 14.8 y una relación de corte de 2. La temperatura y presión al comienzo de la compresión son 100 ºF y 14.5 psia, respectivamente. Determínese (a) la temperatura máxima del ciclo, en grados Rankine, (b) la presión después de la expansión isoentrópica, en psia, y (c) el calor suministrado por ciclo, en Btu/lbm. Utilícense los valores de ;Diesel;rk=14.8, rc=2, T1=100 ºF, P1=14.5 psi;T3, P4, qe;P2=630.572 psia, T2=1644.511 R, T3=3289.021 R, P3=630.572 psia, P4=38.26 psia, qe=894.73 btu/lbm
Un ciclo Diesel de aire estándar funciona con una relación de compresión de 16.7 y una relación de corte de 2. La temperatura y presión al comienzo de la compresión son 37 ºC y 0.10 MPa, respectivamente. Determínese (a) la temperatura máxima del ciclo, en kelvin. (b) la presión después de la expansión isoentrópica, en MPa. (c) el calor suministrado por ciclo, en kJ/kg, y (d) el flujo volumétrico de aire, medido en las condiciones existentes al comenzar la compresión, necesario para producir 200 kW. Utilícense los valores ;Diesel;rk=16.7, rc=2, T1=37 ºC, P1=0.10 Mpa, pots=200 k;T3, P4, qe, fva;T2=900 Ku2=674.58 kJ/kg, P2=4.84 Mpa, T3=1800 K, u3=1487.2 kJ/kg, u4=685.39,T4=915.95 K, P4=0.3 Mpa, qe=1070.37 kJ/kg, qs=464.14 kJ/kg, fm=0.441 kg/s, fv=22.78 m3/min
Un ciclo Diesel de aire estándar tiene una relación de compresión de 15.08:1. La presión y la temperatura al comienzo de la compresión son 1 bar y 27 ºC. respectivamente. Si la temperatura máxima del ciclo es 2.250 K, determínese (a) la relación de corte, (b) la presión máxima en bar. (c) el rendimiento térmico, y (J) la presión media efec;Diesel;rk= 15.08, k=1.4, P1=1 bar, T1=27 ºC, T3=2250 ;rc, P3, nt, pme;h1=300.19, u1= 214.07 kJ/kg, T2=877.84 K, h2= 871.44 kJ/kg, u2= 628.93 kJ/kg, h3=2566.4 kJ/kg, u3=1921.3 kJ/kg, P2=4251.8 kPa, P3=4251.8 kPa, T4=1332.76 K, h4=1434.94 kJ/kg, u4=1052.41 kJ/kg, nt=0.505, pme= 1065.57 kPa
Un ciclo Diesel de aire estándar tiene una relación de compresión de 18.2. El aire está a 27 ºC y 100 kPa al inicio del proceso de compresión, y a 1700 K al final del proceso de adición de calor. Tomando en cuenta las variaciones de calores específicos con la temperatura, determine: a) la relación de cierre de admisión. b) el rechazo de calor por unidad de masa. c) la eficienc;Diesel;rk= 18.2, T1=27 ºC, P1=100 kPa, T2=1700 ;rcadm, qs, nt;rca=1.89,qs=-389.44 kJ/kg,nt=58.8 %
Un ciclo Diesel de aire estándar tiene una relación de compresión de 18.2. El aire está a 80 ºF y 14.7 psia al inicio del proceso de compresión, y a 3000 R al final del proceso de adición de calor. Tomando en cuenta las variaciones de calores específicos con la temperatura, determine a) la relación de cierre de admisión, b) el rechazo de calor por unidad de masa y c) la eficienci;Diesel;rk= 18.2, T1=80 ºF, P1=14.7 psia, T2=3000 ;rcadm, qs, nt;rcadm = 1.848, qs = 158.87 Btu/lbm, nt = 59.16%
Un ciclo Diesel de aire opera con una relación de compresión de 15:1 y se le suministran 7.5 kJ de calor. Calcule: a) la presión y la temperatura al final de cada uno de los procesos del ciclo, y b) la eficiencia térmica y la presión media eficaz del ciclo. Al inicio de la carrera de compresión el aire se encuentra a 0.95 bares y 17 C y el volumen del cilindro es ;Diesel;rk=15, qe=7.5 kJ, P1=0.95 bar, T1=17 ºC, v1=3.8 ;T2, P2, T3, P3, T4, P4, nt, pme;u1=206.9 kJ/kg, h1=290.16 kJ/kg, s1=1.6680 kJ/kgK, v1=0.875 m3/kg, u2=607 kJ/kg, T2=819 K, h2=843.1 kJ/kg, s2=2.74400 kJ/kgK, P2=40.2 bar, P3=40.2 bar, v2=0.875 m3/kg, maire=0.00434 kg, qe=727 kJ/kg, h3=2570 kJ/kg, T3=2250 K, s3=3.9474 kJ/kg K, rc=2.74, T4=1343 K, u4=1062 kJ/kg, s4=3.3122 kJ/kgK, P4=4.40 bares, qs= 855 kJ/kg, nt=0.505, pme=10.67 bar
Un ciclo Diesel ideal con aire como fluido de trabajo tiene una relación de compresión de 18 y una relación de corte de admisión de 2. Al principio del proceso de compresión el fluido de trabajo está a 14.7 psia, 80 ºF y 117 pulg3. Utilice las suposiciones de aire estándar frío y determine a) la temperatura y presión del aire al final de cada proceso, b) la salida de trabajo neto y la eficiencia térmica y c) la presión med;Diesel;rk= 18.2, rca=2, P1=14.7 psia, T1=80 ºF, v1=117 pulg;P2, T2, P3, T3, P4, T4, wn, nt, pme;v2=6.5 pulg3, v3=13 pulg3, v4=117 pulg3, T2=1716 R, P2=841 psia, P3=841 psia, T3=3432 R, T4=1425 R, P4=38.8 psia, qe=411.84 btu/lbm, qs=157.53 Btu/lbm, nt=61.7 %, pme=110 psia
Un ciclo Diesel ideal tiene una relación de compresión de 20 y una relación de cierre de admisión de 1.3. Determine la temperatura máxima del aire y la tasa de adición de calor a este ciclo cuando produce 250 kW de potencia y el estado del aire al inicio de la compresión es de 90 kPa y 15 ºC. Use calores específicos constantes a temperatura ;Diesel;rk= 20, rca=1.3, qe=250 kW, P1=90 kPa, T1=15 º;T3, qe;T3=1240.9 K, qe=367.02 kW
Un ciclo Diesel ideal tiene una temperatura máxima de ciclo de 2300 ºF y una relación de cierre de admisión de 1.4. El estado del aire al principio de la compresión es P1  14.4 psia y T1  50 ºF. Este ciclo se ejecuta en motor de cuatro tiempos, de ocho cilindros, con un diámetro interior de cilindro de 4 pulg y una carrera de pistón de 4 pulg. El volumen mínimo confinado en el cilindro es 4.5 por ciento del volumen máximo del cilindro. Determine la potencia que produce este motor cuando opera a 1.800 rpm. Use calores específicos constantes a temperatur;Diesel;T3=2300 ºF, rca=1.4, P1=14.4 psia, T1=50 ºF, rev= 1800 r;wn;v1=13.12 ft3/lbm, m=0.01774 lbm, fm=958 lbm/hrk=22.22%, T2=1763 K, qe
Un ciclo dual de aire estándar tiene una relación de compresión de 14 y una relación de cierre de admisión de 1.2. La relación de presiones durante el proceso de adición de calor a volumen constante es 1.5. Determine la eficiencia térmica, la cantidad de calor agregada y la presión y la temperatura máximas del gas cuando se opera este ciclo a 80 kPa y 20 ºC al principio de la compresión. Use calores específicos constantes a temperat;Dual;rk= 14, rca=1.2, P1=80 kPa, T1=20 º;nt, qe, P3, T3;v1=13.13 ft3/lbm, m=0.01774 lbm, fm=958 lbm/h, rk=22.22, T2=1763 R, qe= 239.3 Btu/lbm, nt=0.6892, potneta= 62.1 hp
Un ciclo ideal de Otto tiene una relación de compresión de 10.5, admite aire a 90 kPa y 40 ºC y se repite 2 500 veces por minuto. Usando calores específicos constantes a temperatura ambiente, determine la eficiencia térmica de este ciclo y la tasa de suministro de calor si el ciclo ha de producir 90 kW de pote;Otto;P1=90 kPa, T1=40 °C, rpm=250 rpm, pot=90k;nt;nt=61%
Un ciclo Otto de aire estándar funciona con una relación de compresión de 8.50. y el aire al comienzo de la compresión se halla a 14.5 psia y 90 ºF. La presión se triplica en el proceso de suministro de calor. Utilizando la tabla A.51, determínese (a) las temperaturas en el ciclo, en grados Rankine, (b) el rendimiento térmico, (c) la presión media efectiva en psi, y (d) el rendimiento térmico de un motor de Carnot que funcionase entre los mismos límites de t;Otto;rk=8.5, P1=14.5 psia, T1=90 º;T2,T3,T4,nt,pme,ncarnot;T2=1260 R, T3=3780 R, T4=1943 R, nt=0.518, pme=0.854, ncarnot=122
Un ciclo Otto de aire estándar funciona con una relación de compresión de 8.55, y el aire al comienzo de la compresión se halla a 98 kPa y 32 ºC. La presión se triplica en el proceso de suministro de calor. Utilizando la tabla A.5, determínese (a) las temperaturas en el ciclo, en kelvin, (b) el rendimiento térmico, (c) la presión media efectiva en kPa, y (d) el rendimiento térmico de un motor de Carnot que funcionase entre los mismos limites de te;Otto;rk=8.55, P1=98 kPa, T1=32 ºC, P3=3*P;T2,T3,T4,nt,pme;u1=217.67 kJ/kg, P2=1930.44 kPa, T3=2100.57 K, P3=5591.32 kPa, h3=2566.4 kJ/kg, u3=1775.3 kJ/kg, T4=1077.17 K,u4=825.44 kJ/kg, nt=51.87, v1=0.893, v2=0.1041, pme=830.337 kPa
Un ciclo Otto estándar de aire que tienen una razón de compresión de 9 y una adición de calor de 870 BTU/lb de aire. Si la presión y la temperatura al inicio del proceso de compresión son de 14 psia y 40°F, respectivamente. Determinar: a) La presión y la temperatura máxima para el ciclo. b) La eficiencia térmica. c) La presión medi;Otto;rk=9, qe=870 Btu/lbm, P1=14 psia, T1=40 º;P3,T3, nt, pme;nt=0.5847, T2=744.819 ºF, P2=303.436 psi, T3=5832.538 ºF, ve2=1.471 ft3/lbm, P3=1584.542 psi, T4=2152.936 ºF, ve1=13.229 ft3/lbm, qs=282.652 Btu/lbm, wn=587.348 Btu/lbm, pme=269.975 
Un ciclo Otto ideal con aire tomado de la atmósfera como fluido de trabajo, tiene una relación de compresión de 8. Las temperaturas mínima y máxima en el ciclo son 310 K y 1600 K. El valor de P1=100 kPa. Determine: a) La cantidad de calor transferido al aire durante el proceso de adición de calor. b) La eficiencia térmica. c) La presión media efectiva y la cil;Otto;rk=8, T1=310 K, T3=1600 K, P1=100 kPa;qe, nt, pme, cilindrada;T2=712.19, P2=1837.92 kPa, qe=636.12 kJ/kg, T4=696.44 K, qs276.88 kJ/kg, nt=56.47%, wn=359.24 kJ/kg, v1=0,8897 m3/kg, v2=0.1112 m3/kg, pme=461.45 kPa, cil=0,7785 m3/kg
Un ciclo Otto ideal mono cilíndrico de cuatro tiempos y 60 (mm) de diámetro de pistón está limitado por los volúmenes V1 = 480 (cm3) y V2 = 120 (cm3), y por las presiones absolutas siguientes: P1 = 0.1 (MPa). P2 = 0.7(MPa), P3 = 3.5(MPa) y P4 = 0.5(MPa). Si consideramos que la sustancia de trabajo es aire como gas ideal, determine: a)La temperatura del fluido al final de la compresión, si la temperatura al final del rechazo de calor al medio, a volumen constante es 35 °C. b) La masa de aire. c) La variación de entropía en el proceso de la co;Otto;diam=60 mm, v1=480 cm3, v2=120 cm3, P1=0.1 Mpa, P2=0.7 Mpa, P3=3.5 Mpa, P4=0.5 Mpa, T1=35 º;T2, m, ds12;T2=536.52 K, m=0.5433 g, ds12=0 J/kg
Un ciclo Otto ideal tiene una relación de compresión de 8. Al inicio del proceso de compresión el aire está a 100 Kpa y 17 oC, y 800kJ/kg de calor se transfieren a volumen constante hacia el aire durante el proceso de adición de calor. Determine: a) Temperatura y presión máxima durante el ciclo, b) Trabajo neto de salida, c) Eficiencia térmica del ciclo y d)Presión media efectiva en ;Otto;rk=8, P1=100 kPa, T1=17 ºC, qe=800 kJ/k;T3, P3, wn, nt, pme;T2=652.1 K, P2=1798.8 kPa, u2=474.9 kJ/kg, u3=1274.9 kJ/kg, T3 = 1574.9 K, P3 = 4344.31 kPa, T4=795.5 K, u4=588.7 kJ/kg, qs= 381,83 kJ/kg, wn=418,17 kJ/kg, nt=0.523, pme=574 kPa
Un ciclo Otto, empleando aire, tiene una relación de expansión de 8. Al iniciarse el proceso de compresión (a en la fig. 6.1.), la temperatura es de 300K (540°C) y la presión de 1.033 kg/cm2 abs (14.7 lb/plg2 abs). Se suministra calor a razón de 717 kcal/kg de aire (1280 Btu/lb de aire). Determinar: el rendimiento térmico, el trabajo neto, y las presiones y temperaturas en puntos clave del ciclo. (El peso molecular del aire es muy cercano;Otto;rk=8, T1=300 K, P1=1.033 psia, qe=1280 Btu/lbm;nt, wn, P2, T2, P3, T3, P4, T4;nt=56.5 %, wn=405 kcal/kg, ve1=0.85 m3/kg, P2=18.9 kg/cm2, T2=705 K, ve2=0.105 m3/kg, T3=4897 K, P3=133 kg/cm2, T4=2109 K, P4=7.28 kg/cm2 
Un ciclo Rankine de vapor de agua opera entre los límites de presión de 2.500 psia en la caldera y 1 psia en el condensador. La temperatura a la entrada de la turbina es de 800 ºF. La eficiencia isentrópica de la turbina es de 90 por ciento, las pérdidas de la bomba son despreciables y el ciclo está diseñado para producir 1.000 kW de potencia. Calcule el flujo másico a través de la caldera, la potencia que produce la turbina, la tasa de suministro de calor en la caldera y la eficiencia;Rankine;P2=2500 psia, P4= 1 psia,T3=800 ºF, nturb=80%, wn=1000 k;fm, pot, qe, nt;h1=69.762 Btu/lbm, we=7.46 Btu/lbm, h2=77.18 Btu/lbm, P3=2500 psia, , h3=1302 Btu/lbm, s3=1.4116 Btu/lbm R,  s4=1.4116 Btu/lbm R, x4s=0.6932, h4s=787.70 Btu/lbm, h4=839.13 kJ/kg, qe=1224.8 Btu/lbm, qs=769.41 Btu/lbm, qn=455.39 Btu/lbm, fm=2.081 lbm/s, pots=1015 kW, pote=2549 Btu/s, nt=0.3718
Un ciclo Rankine ideal simple con agua como fluido de trabajo opera entre los límites de presión de 2 500 psia en la caldera y 5 psia en el condensador. ¿Cuál es la temperatura mínima necesaria a la entrada de la turbina para que la calidad del vapor que sale de la turbina no sea menor de 80 por ciento? Cuando se opera a esta temperatura, ¿cuál es la eficiencia térmica de;Rankine;P2=2500 psia, P4=5 psia, x4=80%;T3, nt;h1=130.18 Btu/lbm, v1=0.01641 ft3/lbm, we=7.58 Btu/lbm, h2=137.76 Btu/lbm, h4=930.58 Btu/lbm, s4=1.52203 Btu/lbm R, P3=2500 psia, s3=1.52203 Btu/lbm R, h3=1450.8 Btu/lbm, T3=989.2 ºF, qe=1313 Btu/lbm, qs=800.4 Btu/lbm, nt=39
Un motor de dos tiempos, del tipo Otto, de 23.5 x 23.5 cm desarrolla 29.85 kW a 200 rpm, mientras emplea gas natural con un poder calorífico inferior de 37 252 kJ/m3 y una admisión a  P1= 1 atm y T1= 15.6 °C. El consumo específico de calor es 14.142 kJ/kW h, la relación de compresión es 6 y la eficiencia mecánica vale 81%. Haga uso estándar de aire con k = 1.33, y calcule las eficiencias térmicas indicada y efectiva (al freno), las eficiencias motrices y ;Otto;"Pot=29.85 kW, rev=200 rpm, P1= 1atm, T1= 15.6°C, cec=14.142 kJ/kW*h
rk=6, nmec=81%, k = 1.3";n, pme;e= 31.4%, pote=24.1785 kW, T2=521.298 K, P2=0.0922697966 atm, poti=42.3441331 nb=0.571, kW, vd=10192.79919 cm3, pme=878 kPa
Un motor de ignición por chispa tiene una relación de compresión de 8, una eficiencia isentrópica de compresión de 85 por ciento y una eficiencia isentrópica de expansión de 95 por ciento. Al principio de la compresión, el aire en el cilindro está a 13 psia y 60 ºF. La temperatura máxima que se encuentra por medición es 2300 ºF. Determine el calor suministrado por unidad de masa, la eficiencia térmica y la presión efectiva media de este motor cuando se modela con el ciclo de Otto. Use calores específicos constantes a temper;Otto;rk=8,ncomp=85%, nexp=95%, P1=13 psia, T1=60 ºF, T3=2300 �;qe, nt, pme;qe=247Btu/lbm, nt= 47.5%, pme= 49psia
Un motor de ignición por compresión de seis cilindros, cuatro tiempos, 3.2 L, opera en un ciclo Diesel ideal con una relación de compresión de 19. El aire está a 95 kPa y 67 ºC al inicio del proceso de compresión y la velocidad de rotación del motor es de 1750 rpm. El motor usa diesel ligero con un poder calorífico de 42500 kJ/kg, una relación aire-combustible de 28 y una eficiencia de combustión de 98 por ciento. Usando calores específicos constantes a 850 K, determine a) la temperatura máxima en el ciclo y la relación de cierre de admisión, b) la producción neta de trabajo por ciclo y la eficiencia térmica, c) la presión media efectiva, d) la producción neta de potencia y e) el consumo específico de combustible, en g/kWh, definido como la relación de la masa de combustible consumido al tr;Diesel;rk=19, P1=95 kPa, T1=67 ºC, rev=1750 rpm, podercal=42500 kJ/kg, relairecomb=28, ncomb=98%;T3, rca, wn, nt, pme, pot, cec;cp=1.110 kJ/kg K, cv=0.823 kJ/kg K, R=0.287 kJ/kg K, k=1.349, T2=950.1 K, P2=5044 kPa, vc=0.0001778 m3, v1=0.003288 m3, m=0.003288 kg, mf=0.0001134 kg qe=4.723 kJ, T3=2224 K, rc=2.362,v2=0.0001778 m3, v3=0.0004199 m3, v4=0.003288 m3, P3=5044 kPa
Un motor funciona con base en un ciclo Otto. Las condiciones al inicio de la compresión son 27 ºC y 100 kPa. El calor agregado es 1840 kJ/kg. La relación de compresión es 8. Determinar la temperatura y la presión en cada punto de ciclo, la eficiencia térmica y la presión media ef;Otto;T1=300 K, P1=100 kPa, rk=8, qe=1840 kJ/kg;T2, P2, T3, P3, T4, P4, nt, pme;T2=689.2 K, P2=1837.9 kPa, P3=8676.1 kPa, T4=1416.2 K, p4=472.1 kPa, nt=56.5%, v1=0.864 m3,v2=0.108 m3, qs=801 kJ/kg, wn=1039 kJ/kg, pme=1374.3 kPa
Un motor ideal Diesel tiene una relación de compresión de 20 y usa aire como fluido de trabajo. El estado del aire al principio del proceso de compresión es 95 kPa y 20 ºC. Si la temperatura máxima en el ciclo no ha de exceder 2.200 K, determine: a) la eficiencia térmica, b) la presión efectiva media, Suponga calores específicos constantes para el aire a temperatura a;Diesel;rk=20,P1=95 kPa,T1=20 ºC,T3=2200 ;nt, pme;nt=63.5 %, pme=933 kPa
Una central eléctrica de turbina de gas que opera en un ciclo Brayton ideal tiene una relación de presión de 8. La temperatura del gas es de 300 K en la entrada del compresor y de 1 300 K en la entrada de la turbina. Utilice las suposiciones de aire estándar y determine a) la temperatura del gas a la salida del compresor y de la turbina, b) la relación del trabajo de retroceso y c) la eficiencia té;Joule;rk=8, T1=300 K, T3=1300 K;T2, T4, rwretroceso, nt;h1=300.19 kJ/kg, T2=540 K, h2=544.35 kJ/kg, h3=1395.97 kJ/kg, T4=770 K, h4=789.37 kJ/kg, we=244.16 kJ/kg, ws=606.60 kJ/kg, rbw40.3%,qe=851.62 kJ/kg, wn=42.6%, qs=489.2 kJ/kg, nt=42.6%,ntciclo=44.8%
Una planta de potencia de turbina de gas opera según un ciclo de aire estándar entre los límites de presión de 1 y 6.4 bares. La temperatura del aire de entrada es de 22 C, y la limitación de temperatura en la turbina es de 807 C. Si las eficiencias adiabáticas del compresor y la turbina son 82 y 85%, respectivamente, calcule: a) la producción neta de trabajo, y b) la eficiencia térmica si el ciclo e;Joule;P1=1 bar, P2=6.4 bar, T1=22 ºC, T3=807 ºC, eficadiabcomp=82 %, eficadiabturb=85;wn, nt;h1=295.2 kJ/kg, T2=499 K, h2=502 kJ/kg, we=252.2 kJ/kg, h3=1138 kJ/kg, h4=679 kJ/kg, T4=669 K, ws=-459 kJ/kg, wn=137.95 kJ/kg, nt=0.234
Vamos a considerar un ciclo Diesel en la que el aire a la entrada está a una presión de 1 atm y una temperatura de 17 °C, la razón de compresión es 18 y la de combustión vale 2. El volumen máximo de la cámara es de 1900 cm³. Vamos a determinar los volúmenes, presiones y temperaturas de cada vértice del ciclo, así como su rendimiento y el calor y el trabajo intercambiad;Diesel;P1=1 atm, T1=17 ºC, rk=18, rcomb=2, vmax=1900 cm;v1, v2, v3, v4, P2, P3, P4, T2, T3, T4, nt, qe, qs, wn;Vb=105.6 cm3, T2=921.5 K, Pb=57.2 atm, Pc=57.2 atm, Vc=211.1 cm3, T3=1843 K, Vd=1900 cm3, Vc=1900 cm3, Td=765.3 K, P4=2.64 atm, qe=21.13 kJ, qs=7.79 kJ, w=13.35 kJ, nt=63.2%
